ID_Registro,Marca de la Unidad,Año del Vehículo,Ciudad Agencia,Estado de la ciudad o Agencia,Refaccion,Precio,Fecha Compra
1,TOYOTA,2017,ZAPOPAN,JALISCO,FARO,3183,09/05/2019
2,TOYOTA,2017,ZAPOPAN,JALISCO,FARO,3183,09/05/2019
3,TOYOTA,2017,ZAPOPAN,JALISCO,FACIA DELANTERA,3609,09/05/2019
4,TOYOTA,2017,ZAPOPAN,JALISCO,FACIA DELANTERA,137,16/05/2019
5,VOLKSWAGEN,2017,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA TRASERA,4419,25/06/2019
6,VOLKSWAGEN,2014,BENITO JUAREZ,CIUDAD DE MÉXICO,FARO,11294,27/05/2019
7,VOLKSWAGEN,2014,BENITO JUAREZ,CIUDAD DE MÉXICO,FARO,11294,27/05/2019
8,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA TRASERA,3312,15/04/2019
9,SEAT,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,6089,12/04/2019
10,VOLKSWAGEN,2018,TLALPAN,CIUDAD DE MÉXICO,FARO,3039,02/04/2019
11,VOLKSWAGEN,2018,TLALPAN,CIUDAD DE MÉXICO,FACIA DELANTERA,3312,02/04/2019
12,VOLKSWAGEN,2018,TLALPAN,CIUDAD DE MÉXICO,FARO,690,02/04/2019
14,SEAT,2017,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,1636,24/04/2019
15,SEAT,2017,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,1142,24/04/2019
16,SEAT,2017,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,2340,24/04/2019
17,SEAT,2017,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,LLANTA,1549,24/04/2019
18,SEAT,2017,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,101,24/04/2019
19,CHEVROLET,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,PUERTA TRASERA,2500,16/04/2019
20,CHEVROLET,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,1022,16/04/2019
21,CHEVROLET,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,LLANTA,1374,16/04/2019
22,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,1843,25/04/2019
23,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,2750,25/04/2019
24,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,745,25/04/2019
25,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,335,25/04/2019
26,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,1176,24/04/2019
27,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,690,24/04/2019
28,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,LLANTA,1410,24/04/2019
29,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,158,24/04/2019
30,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,158,24/04/2019
31,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,690,24/04/2019
32,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,2000,24/04/2019
33,VOLKSWAGEN,2014,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,1176,24/04/2019
34,CHEVROLET,2017,IZTAPALAPA,CIUDAD DE MÉXICO,FACIA DELANTERA,133,07/05/2019
35,VOLKSWAGEN,2012,METEPEC,ESTADO DE MEXICO,FARO,2740,16/05/2019
36,FORD,2015,COLIMA,COLIMA,FARO,2740,06/05/2019
37,FORD,2015,COLIMA,COLIMA,FARO,2740,06/05/2019
38,KIA,2018,ZAPOPAN,JALISCO,FARO,5550,12/04/2019
39,KIA,2018,ZAPOPAN,JALISCO,PUERTA TRASERA,8859,12/04/2019
40,VOLKSWAGEN,2018,IZTAPALAPA,CIUDAD DE MÉXICO,PUERTA TRASERA,5650,01/06/2019
41,CHEVROLET,2003,LAGOS DE MORENO,JALISCO,FACIA DELANTERA,660,25/04/2019
42,HONDA,2004,GUADALAJARA,JALISCO,FACIA DELANTERA,460,08/05/2019
43,HONDA,2004,GUADALAJARA,JALISCO,FACIA DELANTERA,770,08/05/2019
44,AUDI,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,26368,25/04/2019
45,VOLKSWAGEN,2018,LEÓN,GUANAJUATO,FACIA TRASERA,390,27/04/2019
46,VOLKSWAGEN,2018,LEÓN,GUANAJUATO,FACIA TRASERA,3312,27/04/2019
47,VOLKSWAGEN,2018,LEÓN,GUANAJUATO,FACIA TRASERA,586,27/04/2019
48,AUDI,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,21187,05/05/2019
49,AUDI,2018,ZAPOPAN,JALISCO,LLANTA,5787,17/06/2019
50,AUDI,2018,ZAPOPAN,JALISCO,LLANTA,5787,17/06/2019
51,VOLKSWAGEN,2019,CUAUHTEMOC,CIUDAD DE MÉXICO,FACIA TRASERA,3312,26/04/2019
52,KIA,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA DELANTERA,156,02/05/2019
53,KIA,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA DELANTERA,4473,02/05/2019
54,KIA,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FARO,198,02/05/2019
55,CHEVROLET,2017,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FARO,12789,26/04/2019
56,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA DELANTERA,5977,26/04/2019
57,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,LLANTA,2602,26/04/2019
58,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,PUERTA DELANTERA,7172,26/04/2019
59,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA DELANTERA,1627,26/04/2019
60,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA DELANTERA,205,26/04/2019
61,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FARO,15482,26/04/2019
62,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA DELANTERA,2241,26/04/2019
63,KIA,2018,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FARO,2307,26/04/2019
64,NISSAN,2016,ZAPOPAN,JALISCO,FARO,15602,13/05/2019
65,NISSAN,2016,ZAPOPAN,JALISCO,FARO,15588,13/05/2019
66,NISSAN,2016,ZAPOPAN,JALISCO,FACIA DELANTERA,124,13/05/2019
67,NISSAN,2016,ZAPOPAN,JALISCO,FARO,567,13/05/2019
68,NISSAN,2016,ZAPOPAN,JALISCO,FACIA DELANTERA,609,13/05/2019
69,NISSAN,2016,ZAPOPAN,JALISCO,FACIA DELANTERA,4197,13/05/2019
70,NISSAN,2016,ZAPOPAN,JALISCO,FACIA DELANTERA,2457,13/05/2019
71,NISSAN,2015,GUADALAJARA,JALISCO,FACIA TRASERA,1563,06/05/2019
72,VOLKSWAGEN,2018,GUADALAJARA,JALISCO,FACIA DELANTERA,212,07/05/2019
73,VOLKSWAGEN,2018,GUADALAJARA,JALISCO,FACIA DELANTERA,4233,07/05/2019
74,VOLKSWAGEN,2018,GUADALAJARA,JALISCO,FARO,2465,07/05/2019
75,VOLKSWAGEN,2018,GUADALAJARA,JALISCO,FACIA DELANTERA,2003,07/05/2019
76,AUDI,2010,ZAPOPAN,JALISCO,FACIA TRASERA,12968,03/05/2019
77,KIA,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,213,06/05/2019
78,CHEVROLET,2012,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,239,15/05/2019
79,CHEVROLET,2012,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,325,15/05/2019
80,CHEVROLET,2012,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,4164,15/05/2019
81,CHEVROLET,2012,BENITO JUAREZ,CIUDAD DE MÉXICO,FARO,3772,15/05/2019
82,VOLKSWAGEN,2017,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA TRASERA,3312,15/05/2019
83,KIA,2019,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA DELANTERA,6601,07/05/2019
84,KIA,2019,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA DELANTERA,110,07/05/2019
85,KIA,2019,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA DELANTERA,2023,07/05/2019
86,KIA,2019,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA DELANTERA,6601,07/05/2019
87,KIA,2019,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA DELANTERA,347,07/05/2019
88,AUDI,2017,HUIXQUILUCAN DE DEGOLLADO,ESTADO DE MEXICO,LLANTA,6300,06/05/2019
89,GM,2005,ECATEPEC DE MORELOS,ESTADO DE MEXICO,PUERTA TRASERA,3100,07/05/2019
90,SEAT,2018,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,6089,22/05/2019
91,NISSAN,2010,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,269,27/05/2019
92,NISSAN,2010,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,380,27/05/2019
93,VOLKSWAGEN,2018,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,4183,23/05/2019
94,SEAT,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,PUERTA DELANTERA,8632,17/05/2019
95,NISSAN,2017,LEÓN,GUANAJUATO,PUERTA TRASERA,4446,14/05/2019
96,VOLKSWAGEN,2017,LEÓN,GUANAJUATO,FARO,2465,11/05/2019
97,VOLKSWAGEN,2017,LEÓN,GUANAJUATO,FARO,191,11/05/2019
98,VOLKSWAGEN,2017,LEÓN,GUANAJUATO,FACIA DELANTERA,3987,11/05/2019
99,VOLKSWAGEN,2017,LEÓN,GUANAJUATO,FARO,1665,11/05/2019
100,VOLKSWAGEN,2017,LEÓN,GUANAJUATO,FACIA DELANTERA,2003,11/05/2019
101,VOLKSWAGEN,2017,LEÓN,GUANAJUATO,FACIA DELANTERA,644,11/05/2019
102,VOLKSWAGEN,2016,COYOACAN,CIUDAD DE MÉXICO,FARO,3907,17/05/2019
103,VOLKSWAGEN,2016,COYOACAN,CIUDAD DE MÉXICO,FARO,3907,17/05/2019
104,KIA,2017,GUADALAJARA,JALISCO,FARO,19485,20/05/2019
105,KIA,2017,GUADALAJARA,JALISCO,FACIA DELANTERA,1343,20/05/2019
106,KIA,2017,GUADALAJARA,JALISCO,FARO,4756,20/05/2019
107,KIA,2017,GUADALAJARA,JALISCO,FACIA DELANTERA,2676,23/05/2019
108,KIA,2017,GUADALAJARA,JALISCO,FARO,205,23/05/2019
109,KIA,2017,GUADALAJARA,JALISCO,FACIA DELANTERA,3708,23/05/2019
110,HONDA,2015,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,1201,20/05/2019
111,HONDA,2015,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,1120,20/05/2019
112,HONDA,2015,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,2900,20/05/2019
113,FORD,2010,LEÓN,GUANAJUATO,FARO,6495,20/05/2019
114,FORD,2010,LEÓN,GUANAJUATO,FACIA DELANTERA,2203,20/05/2019
115,FORD,2010,LEÓN,GUANAJUATO,FARO,602,20/05/2019
116,VOLKSWAGEN,2019,GUADALAJARA,JALISCO,FARO,690,20/05/2019
117,VOLKSWAGEN,2019,GUADALAJARA,JALISCO,FARO,3039,20/05/2019
118,VOLKSWAGEN,2019,GUADALAJARA,JALISCO,FACIA DELANTERA,3312,20/05/2019
119,VOLKSWAGEN,2017,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA TRASERA,395,18/05/2019
120,SEAT,2019,BENITO JUAREZ,CIUDAD DE MÉXICO,PUERTA TRASERA,11230,31/05/2019
121,SUZUKI,2019,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,5000,17/05/2019
122,SUZUKI,2019,COYOACAN,CIUDAD DE MÉXICO,LLANTA,3127,17/05/2019
123,SUZUKI,2019,COYOACAN,CIUDAD DE MÉXICO,FARO,1511,17/05/2019
124,SUZUKI,2019,COYOACAN,CIUDAD DE MÉXICO,FARO,3621,17/05/2019
125,TOYOTA,2008,COYOACAN,CIUDAD DE MÉXICO,LLANTA,937,30/05/2019
126,TOYOTA,2008,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,372,30/05/2019
127,TOYOTA,2008,COYOACAN,CIUDAD DE MÉXICO,LLANTA,937,30/05/2019
128,TOYOTA,2008,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,823,30/05/2019
129,TOYOTA,2008,COYOACAN,CIUDAD DE MÉXICO,FACIA TRASERA,703,30/05/2019
130,TOYOTA,2008,COYOACAN,CIUDAD DE MÉXICO,FACIA TRASERA,464,30/05/2019
131,DODGE,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA DELANTERA,5129,30/05/2019
132,DODGE,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA DELANTERA,7592,30/05/2019
133,DODGE,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FARO,4942,30/05/2019
134,VOLKSWAGEN,2016,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,1102,27/05/2019
135,KIA,2019,HUIXQUILUCAN DE DEGOLLADO,ESTADO DE MEXICO,FARO,9020,21/05/2019
136,BMW,2014,TEPATITLAN DE MORELOS,JALISCO,LLANTA,5255,23/05/2019
137,VOLKSWAGEN,2017,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,FACIA TRASERA,7111,21/05/2019
138,CHEVROLET,2016,IZTAPALAPA,CIUDAD DE MÉXICO,PUERTA TRASERA,8508,17/05/2019
139,CHEVROLET,2016,IZTAPALAPA,CIUDAD DE MÉXICO,FACIA TRASERA,198,17/05/2019
140,FORD,2015,ZAPOPAN,JALISCO,FARO,3700,22/05/2019
141,MAZDA,2018,HUIXQUILUCAN DE DEGOLLADO,ESTADO DE MEXICO,FACIA TRASERA,8420,21/05/2019
142,VOLKSWAGEN,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FARO,2465,20/05/2019
143,VOLKSWAGEN,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,4233,20/05/2019
144,VOLKSWAGEN,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,2003,20/05/2019
145,VOLKSWAGEN,2018,GUADALAJARA,JALISCO,FACIA TRASERA,2114,22/05/2019
146,CHEVROLET,2018,LEÓN,GUANAJUATO,FACIA DELANTERA,181,27/05/2019
147,CHEVROLET,2018,LEÓN,GUANAJUATO,FARO,3968,27/05/2019
148,CHEVROLET,2018,LEÓN,GUANAJUATO,FACIA DELANTERA,1367,27/05/2019
149,NISSAN,2017,LEÓN,GUANAJUATO,FACIA TRASERA,3951,23/05/2019
150,NISSAN,2009,LEÓN,GUANAJUATO,FACIA TRASERA,820,23/05/2019
151,CHEVROLET,2014,LEÓN,GUANAJUATO,FACIA TRASERA,200,23/05/2019
152,CHEVROLET,2014,LEÓN,GUANAJUATO,FACIA TRASERA,300,23/05/2019
153,CHEVROLET,2014,LEÓN,GUANAJUATO,FACIA TRASERA,2021,23/05/2019
154,CHEVROLET,2014,LEÓN,GUANAJUATO,FACIA TRASERA,200,23/05/2019
155,CHEVROLET,2014,LEÓN,GUANAJUATO,FACIA TRASERA,1940,23/05/2019
156,CHEVROLET,2006,GUADALAJARA,JALISCO,FACIA DELANTERA,590,22/05/2019
157,CHEVROLET,2006,GUADALAJARA,JALISCO,FARO,645,22/05/2019
158,CHEVROLET,2006,GUADALAJARA,JALISCO,FARO,645,22/05/2019
159,VOLKSWAGEN,2016,ZAPOPAN,JALISCO,FACIA TRASERA,1680,31/05/2019
160,VOLKSWAGEN,2016,ZAPOPAN,JALISCO,FACIA TRASERA,148,31/05/2019
161,CHEVROLET,2014,GUADALAJARA,JALISCO,FARO,880,21/05/2019
162,SEAT,2016,ZAPOPAN,JALISCO,FACIA TRASERA,4070,20/05/2019
163,SEAT,2016,ZAPOPAN,JALISCO,FACIA TRASERA,408,20/05/2019
164,SEAT,2017,MIGUEL HIDALGO,CIUDAD DE MÉXICO,PUERTA DELANTERA,7953,21/05/2019
165,SEAT,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA TRASERA,5178,21/05/2019
166,SEAT,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA TRASERA,545,21/05/2019
167,SEAT,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA TRASERA,548,21/05/2019
168,NISSAN,2015,ZAPOPAN,JALISCO,FARO,5123,27/05/2019
169,NISSAN,2015,ZAPOPAN,JALISCO,FACIA DELANTERA,4197,27/05/2019
170,NISSAN,2015,ZAPOPAN,JALISCO,FARO,5130,27/05/2019
171,DODGE,2017,COYOACAN,CIUDAD DE MÉXICO,LLANTA,5500,30/04/2019
172,SEAT,2016,GUADALAJARA,JALISCO,FACIA TRASERA,4620,08/05/2019
173,CHEVROLET,2016,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,1050,08/08/2019
174,CHEVROLET,2016,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,193,14/08/2019
175,CHEVROLET,2016,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,707,14/08/2019
176,CHEVROLET,2016,COYOACAN,CIUDAD DE MÉXICO,FARO,1245,14/08/2019
177,SEAT,2017,ZAPOPAN,JALISCO,FACIA TRASERA,6089,05/04/2019
178,SEAT,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA TRASERA,5130,05/04/2019
179,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,176,27/05/2019
180,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,809,27/05/2019
181,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FARO,16753,27/05/2019
182,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FARO,216,27/05/2019
183,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,2513,27/05/2019
184,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,6557,27/05/2019
185,VOLKSWAGEN,2018,ZAPOPAN,JALISCO,FARO,902,12/06/2019
186,VOLKSWAGEN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,2607,22/04/2019
187,KIA,2019,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,3410,29/05/2019
188,KIA,2019,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,1658,29/05/2019
189,KIA,2019,GUSTAVO A MADERO,CIUDAD DE MÉXICO,PUERTA DELANTERA,4622,29/05/2019
190,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,492,26/08/2019
191,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,492,26/08/2019
192,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,PUERTA TRASERA,1824,26/08/2019
193,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,1497,26/08/2019
194,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,PUERTA TRASERA,1079,22/08/2019
195,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,2769,22/08/2019
196,VOLKSWAGEN,2016,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA TRASERA,1497,22/08/2019
