Edición,Año,Ganador,Estadio,Ciudad
I,1967,Green Bay Packers,Los Angeles Memorial Coliseum,"Los Ángeles, California"
II,1968,Green Bay Packers ,Miami Orange Bowl,"Miami, Florida"
III,1969,New York Jets,Miami Orange Bowl (2),"Miami, Florida (2)"
IV,1970,Kansas City Chiefs,Tulane Stadium,"Nueva Orleans, Luisiana"
V,1971,Baltimore Colts,Miami Orange Bowl (3),"Miami, Florida (3)"
VI,1972,Dallas Cowboys,Tulane Stadium (2),"Nueva Orleans, Luisiana (2)"
VII,1973,Miami Dolphins,Los Angeles Memorial Coliseum (2),"Los Ángeles, California (2)"
VIII,1974,Miami Dolphins ,Rice Stadium,"Houston, Texas"
IX,1975,Pittsburgh Steelers,Tulane Stadium (3),"Nueva Orleans, Luisiana (3)"
X,1976,Pittsburgh Steelers ,Miami Orange Bowl (4),"Miami, Florida (4)"
XI,1977,Oakland Raiders,Rose Bowl,"Pasadena, California (3)"
XII,1978,Dallas Cowboys ,Louisiana Superdome,"Nueva Orleans, Luisiana (4)"
XIII,1979,Pittsburgh Steelers ,Miami Orange Bowl (5),"Miami, Florida (5)"
XIV,1980,Pittsburgh Steelers ,Rose Bowl (2),"Pasadena, California (4)"
XV,1981,Oakland Raiders ,Superdome (2),"Nueva Orleans, Luisiana (5)"
XVI,1982,San Francisco 49ers,Pontiac Silverdome,"Pontiac, Míchigan"
XVII,1983,Washington Redskins,Rose Bowl (3),"Pasadena, California (5)"
XVIII,1984,Los Angeles Raiders ,Tampa Stadium,"Tampa, Florida"
XIX,1985,San Francisco 49ers ,Stanford Stadium,"Stanford, California"
XX,1986,Chicago Bears,Louisiana Superdome (3),"Nueva Orleans, Luisiana (6)"
XXI,1987,New York Giants,Rose Bowl (4),"Pasadena, California (6)"
XXII,1988,Washington Redskins ,Jack Murphy Stadium,"San Diego, California"
XXIII,1989,San Francisco 49ers ,Joe Robbie Stadium,"Miami, Florida (6)"
XXIV,1990,San Francisco 49ers ,Louisiana Superdome (4),"Nueva Orleans, Luisiana (7)"
XXV,1991,New York Giants ,Tampa Stadium (2),"Tampa, Florida (2)"
XXVI,1992,Washington Redskins ,Metrodome,"Mineápolis, Minesota"
XXVII,1993,Dallas Cowboys ,Rose Bowl (5),"Pasadena, California (7)"
XXVIII,1994,Dallas Cowboys ,Georgia Dome,"Atlanta, Georgia"
XXIX,1995,San Francisco 49ers ,Joe Robbie Stadium (2),"Miami, Florida (7)"
XXX,1996,Dallas Cowboys ,Sun Devil Stadium,"Tempe, Arizona"
XXXI,1997,Green Bay Packers ,Louisiana Superdome (5),"Nueva Orleans, Luisiana (8)"
XXXII,1998,Denver Broncos,Qualcomm Stadium (2),"San Diego, California (2)"
XXXIII,1999,Denver Broncos ,Pro Player Stadium (3),"Miami, Florida (8)"
XXXIV,2000,St. Louis Rams,Georgia Dome (2),"Atlanta, Georgia (2)"
XXXV,2001,Baltimore Ravens,Raymond James Stadium,"Tampa, Florida (3)"
XXXVI,2002,New England Patriots,Louisiana Superdome (6),"Nueva Orleans, Luisiana (9)"
XXXVII,2003,Tampa Bay Buccaneers,Qualcomm Stadium (3),"San Diego, California (3)"
XXXVIII,2004,New England Patriots ,Reliant Stadium,"Houston, Texas (2)"
XXXIX,2005,New England Patriots ,ALLTEL Stadium,"Jacksonville, Florida"
XL,2006,Pittsburgh Steelers ,Ford Field,"Detroit, Míchigan"
XLI,2007,Indianapolis Colts ,Dolphin Stadium (4),"Miami Gardens, Florida (9)"
XLII,2008,New York Giants ,University of Phoenix Stadium,"Glendale, Arizona (2)"
XLIII,2009,Pittsburgh Steelers ,Raymond James Stadium (2),"Tampa, Florida (4)"
XLIV,2010,New Orleans Saints,Dolphin Stadium (5),"Miami Gardens, Florida (10)"
XLV,2011,Green Bay Packers ,Cowboys Stadium,"Arlington, Texas"
XLVI,2012,New York Giants ,Lucas Oil Stadium,"Indianápolis, Indiana"
XLVII,2013,Baltimore Ravens ,Mercedes-Benz Superdome (7),"Nueva Orleans, Luisiana (10)"
XLVIII,2014,Seattle Seahawks,MetLife Stadium,"East Rutherford, Nueva Jersey"
XLIX,2015,New England Patriots ,University of Phoenix Stadium (2),"Glendale, Arizona (3)"
50,2016,Denver Broncos ,Levi's Stadium,"Santa Clara, California"
LI,2017,New England Patriots ,NRG Stadium (2),"Houston, Texas (3)"
LII,2018,Philadelphia Eagles,U.S. Bank Stadium,"Mineápolis, Minesota (2)"
LIII,2019,New England Patriots ,Mercedes-Benz Stadium,"Atlanta, Georgia (3)"
LIV,2020,Kansas City Chiefs ,Hard Rock Stadium (6),"Miami Gardens, Florida (11)"
LV,2021,Tampa Bay Buccaneers ,Raymond James Stadium (3),"Tampa, Florida (5)"
LVI,2022,Los Angeles Rams ,SoFi Stadium,"Inglewood, California (8)"
