Category,Group,Sub-Group,Account,Year,Month,Amount
Assets,Current Assets,Cash & Bank Balances,10001,2017,January,127822
Assets,Current Assets,Cash & Bank Balances,10001,2017,February,597738
Assets,Current Assets,Cash & Bank Balances,10001,2017,March,2579957
Assets,Current Assets,Cash & Bank Balances,10001,2017,April,2556932
Assets,Current Assets,Cash & Bank Balances,10001,2017,May,2586386
Assets,Current Assets,Cash & Bank Balances,10001,2017,June,2094131
Assets,Current Assets,Cash & Bank Balances,10001,2017,July,833179
Assets,Current Assets,Cash & Bank Balances,10001,2017,August,334466
Assets,Current Assets,Cash & Bank Balances,10001,2017,September,591659
Assets,Current Assets,Cash & Bank Balances,10001,2017,October,84915
Assets,Current Assets,Cash & Bank Balances,10001,2017,November,64501
Assets,Current Assets,Cash & Bank Balances,10001,2017,December,35252
Assets,Current Assets,Cash & Bank Balances,10002,2017,January,157519
Assets,Current Assets,Cash & Bank Balances,10002,2017,February,9215
Assets,Current Assets,Cash & Bank Balances,10002,2017,March,499002
Assets,Current Assets,Cash & Bank Balances,10002,2017,April,49611
Assets,Current Assets,Cash & Bank Balances,10002,2017,May,111777
Assets,Current Assets,Cash & Bank Balances,10002,2017,June,538918
Assets,Current Assets,Cash & Bank Balances,10002,2017,July,604527
Assets,Current Assets,Cash & Bank Balances,10002,2017,August,423350
Assets,Current Assets,Cash & Bank Balances,10002,2017,September,199705
Assets,Current Assets,Cash & Bank Balances,10002,2017,October,21590
Assets,Current Assets,Cash & Bank Balances,10002,2017,November,24088
Assets,Current Assets,Cash & Bank Balances,10002,2017,December,65576
Assets,Current Assets,Cash & Bank Balances,10002,2018,January,78429
Assets,Current Assets,Cash & Bank Balances,10003,2017,January,418833
Assets,Current Assets,Cash & Bank Balances,10003,2017,February,7685
Assets,Current Assets,Cash & Bank Balances,10003,2017,March,1153531
Assets,Current Assets,Cash & Bank Balances,10003,2017,April,85351
Assets,Current Assets,Cash & Bank Balances,10003,2017,May,806242
Assets,Current Assets,Cash & Bank Balances,10003,2017,June,81124
Assets,Current Assets,Cash & Bank Balances,10003,2017,July,43423
Assets,Current Assets,Cash & Bank Balances,10003,2017,August,51185
Assets,Current Assets,Cash & Bank Balances,10003,2017,September,285748
Assets,Current Assets,Cash & Bank Balances,10003,2017,October,155927
Assets,Current Assets,Cash & Bank Balances,10003,2017,November,67544
Assets,Current Assets,Cash & Bank Balances,10003,2017,December,979411
Assets,Current Assets,Cash & Bank Balances,10003,2018,January,432917
Assets,Current Assets,Cash & Bank Balances,10005,2017,January,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,February,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,March,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,April,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,May,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,June,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,July,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,August,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,September,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,October,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,November,187
Assets,Current Assets,Cash & Bank Balances,10005,2017,December,187
Assets,Current Assets,Cash & Bank Balances,10005,2018,January,187
Assets,Current Assets,Cash & Bank Balances,10006,2017,January,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,February,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,March,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,April,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,May,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,June,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,July,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,August,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,September,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,October,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,November,5000
Assets,Current Assets,Cash & Bank Balances,10006,2017,December,5000
Assets,Current Assets,Cash & Bank Balances,10006,2018,January,5000
Assets,Current Assets,Cash & Bank Balances,10007,2017,January,145154
Assets,Current Assets,Cash & Bank Balances,10007,2017,February,142982
Assets,Current Assets,Cash & Bank Balances,10007,2017,March,140810
Assets,Current Assets,Cash & Bank Balances,10007,2017,April,139538
Assets,Current Assets,Cash & Bank Balances,10007,2017,May,137366
Assets,Current Assets,Cash & Bank Balances,10007,2017,June,217241
Assets,Current Assets,Cash & Bank Balances,10007,2017,July,297336
Assets,Current Assets,Cash & Bank Balances,10007,2017,August,212761
Assets,Current Assets,Cash & Bank Balances,10007,2017,September,210620
Assets,Current Assets,Cash & Bank Balances,10007,2017,October,290746
Assets,Current Assets,Cash & Bank Balances,10007,2017,November,206307
Assets,Current Assets,Cash & Bank Balances,10007,2017,December,204195
